No.;Nama;Base Attack;Base Defense;Bentuk Sebelumnya;Evolusi ke;Total Evolusi;Tipe;Kuat Terhadap;RIceistan Terhadap;Legendaris;Deskripsi;Efek;M/G;Biaya;Cek Evolusi;Bonus;Attack;Deffense;id;check MG;chek error
001;Bulbasaur;49;49;-;1;3;Grass, Poison;Water, Ground, Rock;Electric, Grass;Tidak;Bulbasaur menyimpan energi di benih di punggungnya yang tumbuh besar seiring bertambahnya usia.;;;1;-;-2;240;240;001;;
002;Ivysaur;62;63;Bulbasaur;2;3;Grass, Poison;Water, Ground, Rock;Electric, Grass;Tidak;Ivysaur mulai menunjukkan tanda-tanda perkembangan fisik seiring tumbuhnya tanaman di punggungnya.;;;3;Bulbasaur;0;740;760;002;;
003;Venusaur;82;83;Ivysaur;3;3;Grass, Poison;Water, Ground, Rock;Electric, Grass;Tidak;Venusaur menggunakan daun besar di punggungnya untuk menyerap sinar matahari dan memperkuat serangannya.;;;5;Ivysaur;2;1290;1230;003;;
003_1;Mega Venusaur;100;123;Venusaur;-;-;Grass, Poison;Water, Ground, Rock;Electric, Grass;Tidak;Mega Venusaur memiliki kekuatan pertahanan luar biasa dengan tanaman besar di punggungnya yang melindunginya.;;M/G;7;Venusaur;5;1730;1820;003_1;003;v
003_2;Gigantamax Venusaur;110;130;Venusaur;-;-;Grass, Poison;Water, Ground, Rock;Electric, Grass;Tidak;Gigantamax Venusaur berubah menjadi lebih besar, dengan tanaman di punggungnya yang mekar penuh menjadi perlindungan.;;M/G;7;Venusaur;5;1760;1790;003_2;003;v
004;Charmander;52;43;-;1;3;Fire;Grass, Bug, Ice;Fire, Grass, Bug;Tidak;Charmander menggunakan ekornya yang menyala sebagai indikator kekuatan hidupnya.;;;1;-;-4;250;210;004;;
005;Charmeleon;64;58;Charmander;2;3;Fire;Grass, Bug, Ice;Fire, Grass, Bug;Tidak;Charmeleon menunjukkan sifat agresif, seringkali mencari lawan yang kuat untuk menguji kekuatannya.;;;3;Charmander;-2;760;720;005;;
006;Charizard;84;78;Charmeleon;3;3;Fire, Flying;Grass, Bug, Ice;Ground, Bug, Grass;Tidak;Charizard terbang tinggi di langit, memuntahkan api yang mampu melelehkan batu.;;;5;Charmeleon;1;1320;1190;006;;
006_1;Mega Charizard X;130;111;Charizard;-;-;Fire, Dragon;Grass, Bug, Ice;Ground, Fire, Grass;Tidak;Mega Charizard X memiliki kekuatan besar dengan napas api biru yang bisa membakar segalanya.;;M/G;7;Charizard;4;2040;1500;006_1;006;v
006_2;Mega Charizard Y;104;78;Charizard;-;-;Fire, Flying;Grass, Bug, Ice;Ground, Bug, Grass;Tidak;Mega Charizard Y menjadi jauh lebih kuat dan lebih cepat, mampu terbang di ketinggian yang luar biasa.;;M/G;7;Charizard;4;2160;1380;006_2;006;v
006_3;Gigantamax Charizard;120;85;Charizard;-;-;Fire, Flying;Grass, Bug, Ice;Ground, Bug, Grass;Tidak;Gigantamax Charizard memiliki api yang semakin besar, dengan tubuh yang dipenuhi api dan sayap yang menyala.;;M/G;7;Charizard;4;2210;1330;006_3;006;v
